ou,ID,&,name,&,ra(deg),&,dec(deg),&,observed,* (observed in 2019),\\\hline,need exposure(hr) ,u+g,r+i+z,processed,old need(hr),2019obs+otr exp(hr),202002obs+otr exp(hr),extra,202011obs,202104obs,202107obs,202108obs,202112obs,202201obs,202202obs,202203obs,202205obs,202206obs,202207obs,202208obs,202209obs,202211obs,202212obs,202303obs,202304obs,202306obs,202307obs,202308obs,202310obs,202312obs,202406-7obs,redshift,lx,observed by Anja,E(B-V) SFD center,Affected by API,\\\hline,DES,SM vs PS1,Previous studies (lensing? or dynamical mass?),Links,Relaxed,Paper II,Chandra,eRosita,XMM,Processed by,Latest processing date,Processing finished
2,1,&,A2029,&,227.73,&,5.72,&,yes,,\\,0.00,0,0,1,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0766,8.73E+44,many,0.0399,,\\,0,,,,,1?,,,,Ian,07/22,
4,2,&,A401,&,44.74,&,13.58,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,2.04,,,,,,1.73,0.56,,0.47,,,,,,,,,0.0739,6.09E+44,,,,\\,,,,,,,,,,Shenming,,
7,3,&,A85,&,10.46,&,-9.30,&,yes,*,\\,0.00,0,0,1,0.53,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,0.0555,5.10E+44,0,0.0377,maybe,\\,very small,,x (J),best,,0,,,,Shenming,,
9,4,&,A3667,&,303.13,&,-56.83,&,yes,*,\\,0.00,0,0,1,4.81,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,0.0556,4.87E+44,"?, but other researchers",,,\\,,,,,,1,,,,Shenming,,
12,5,&,A3827,&,330.48,&,-59.95,&,yes,*,\\,0.00,0,0,1,0.46,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,4.20E+44,1,0.0388,,\\,,,,,,1,,,,Shenming,,
14,6,&,A3266,&,67.85,&,-61.44,&,yes,*,\\,0.00,0,0,1,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.0589,3.98E+44,,,,\\,,,,,1,1,1,1,1,Ian,,
16,7,&,A1651,&,194.84,&,-4.19,&,yes,*,\\,0.00,0,0,2,0.74,0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,0.0845,3.85E+44,,,,\\,0,,x,https://arxiv.org/pdf/astro-ph/0310009.pdf,,1,,,,Ian,07/22,
17,8,&,A754,&,137.28,&,-9.67,&,yes,*,\\,0.00,0,0,1,0.75,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,0.0542,3.85E+44,1,,,\\,0,,x (A),,0,1?,,,,Shenming,,
19,9,&,A3571,&,206.87,&,-32.85,&,yes,,\\,0.00,0,0,1,0.22,0,,,,0.22,,,,,,,,,,,,,,,,,,,,,,0.0391,3.82E+44,,,,\\,,,,,,,,,,Ian,,
20,10,&,A3112,&,49.49,&,-44.24,&,yes,*,\\,0.00,0,0,,3.81,2.39,,,0.86,,,0.55,,,,,,,,,,,,,,,,,,,,0.0752,3.82E+44,,,,\\,,,,,,,,,,Ian,,
24,11,&,A399,&,44.46,&,13.05,&,yes,,\\,0.00,0,0,,4.81,0,,,,,,,,2.04,,,,,,1.73,0.56,,0.47,,,,,,,,,0.0722,3.59E+44,,,,\\,,,,,,,,,,Shenming,,
25,12,&,A2597,&,351.33,&,-12.13,&,yes,*,\\,0.00,0,0,1,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,0.0852,3.56E+44,,,,\\,0,,x,https://arxiv.org/pdf/astro-ph/0310009.pdf,,1?,,,,Taylor,,
29,13,&,A1650,&,194.67,&,-1.76,&,yes,*,\\,0.00,0,0,1,0.28,0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,0.0845,3.47E+44,1,,,\\,0,,x,https://arxiv.org/pdf/astro-ph/0310009.pdf,,1,,,,Shenming,,
30,14,&,A2837,&,13.19,&,-80.27,&,yes,*,\\,0.00,0,0,1,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,0.1141,3.39E+44,,0.0682,,\\,,,,,,,,,,Soren,,
31,15,&,RXC J1558.3-1410,&,239.60,&,-14.17,&,yes,*,\\,0.00,0,0,2,2.37,1.64,,,,0.73,,,,,,,,,,,,,,,,,,,,,,0.097,3.18E+44,,,,\\,0,,,,,,,,,Ian,,
32,16,&,A3558,&,201.99,&,-31.50,&,yes,*,\\,0.00,0,0,1,0.32,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,0.048,3.14E+44,,,,\\,,,,,,1,,,,Ian,,
36,17,&,A3695,&,308.70,&,-35.81,&,yes,*,\\,0.00,0,0,1,0.86,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,0.0894,2.96E+44,1,0.0379,,\\,,,,,,1,,,,Ian,,
38,18,&,A3921,&,342.49,&,-64.43,&,yes,*,\\,0.00,0,0,1,3.81,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,2.83E+44,"no, has XMM",0.026,,\\,,,,,,0,,,,Ian,,
42,19,&,A2426,&,333.64,&,-10.37,&,yes,*,\\,0.00,0,0,1,3.93,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,2.77E+44,?,,,\\,0,,x,https://arxiv.org/pdf/astro-ph/0310009.pdf,,,,,,Ian,,
43,20,&,A3158,&,55.72,&,-53.64,&,yes,*,\\,0.00,0,0,2,3.81,3.35,0.28,,0.18,,,,,,,,,,,,,,,,,,,,,,,0.059,2.76E+44,,,,\\,,,,,,1,,,,Ian,,
44,21,&,RXC J1217.6+0339,&,184.42,&,3.66,&,yes,*,\\,0.00,0,0,,1.27,0,1.27,,,0.00,,,,,,,,,,,,,,,,,,,,,,0.0766,2.74E+44,,,,\\,ZwCl1215,,,,,1,,,,Ian,07/22,
