cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_ra,source_dec,separation_arcmin,flux_0.5_2keV,det_likelihood,extent_arcsec
9,A3667,303.13,-56.83,1,303.11282719239,-56.83577014323,0.661524465413861,,,
12,A3827,330.48,-59.95,1,330.47428500311,-59.94580076864,0.30490731399424115,,,
14,A3266,67.85,-61.44,1,67.81774325572,-61.45576518719,1.323046019422171,,,
16,A1651,194.84,-4.19,1,194.84313147241,-4.19414984241,0.3116242605352579,,,
17,A754,137.28,-9.67,1,137.32331436093,-9.68653480292,2.747258891928452,,,
19,A3571,206.87,-32.85,1,206.87093410737,-32.86864293471,1.1195663954277837,,,
20,A3112,49.49,-44.24,1,49.49083649849,-44.23815806833,0.11621844903438419,,,
29,A1650,194.67,-1.76,1,194.67297333103,-1.76243188863,0.23040647561618868,,,
30,A2837,13.19,-80.27,1,13.16761458382,-80.2603399568,0.6225084489753686,,,
31,RXC J1558.3-1410,239.6,-14.17,1,239.59136089828,-14.16585994109,0.5606159835690822,,,
32,A3558,201.99,-31.5,1,201.98321014513,-31.49149737748,0.6171946197059114,,,
38,A3921,342.49,-64.43,1,342.48582970699,-64.42561104242,0.28462588705000114,,,
43,A3158,55.72,-53.64,1,55.71091409758,-53.63013588553,0.6743621560444758,,,
44,RXC J1217.6+0339,184.42,3.66,1,184.42323892308,3.65885914204,0.20566476988072085,,,
45,A2811,10.54,-28.54,1,10.52938433159,-28.53184186398,0.743444448965387,,,
46,A780,139.53,-12.09,1,139.52436859995,-12.09403249112,0.4095060846842681,,,
49,A1285,172.58,-14.58,1,172.58609767071,-14.57373040011,0.5166077014753857,,,
51,A3911,341.58,-52.73,1,341.59735492198,-52.7359063815,0.7233003190323289,,,
55,A4010,352.8,-36.51,1,352.80567933003,-36.5106793062,0.276901650549281,,,
60,RXC J1539.5-8335,234.89,-83.59,1,234.88210392154,-83.58880390486,0.08915393100681045,,,
63,A1750,202.71,-1.87,1,202.70418809513,-1.86345301475,0.5251471043611132,,,
64,A3822,328.54,-57.86,1,328.52675937965,-57.86011450077,0.42268770125409405,,,
65,A1307,173.22,14.47,1,173.2129243445,14.46093226075,0.6819042453686412,,,
69,A2941,26.26,-53.01,1,26.23415873373,-53.01825722885,1.0562006841816378,,,
74,A1644,194.29,-17.4,1,194.29427057524,-17.41222462887,0.773156120483376,,,
75,A1348,175.35,-12.27,1,175.35030677974,-12.277576654,0.45495490692453117,,,
77,RBS 1847,334.52,-65.19,1,334.49823776791,-65.18118382081,0.7616456090301473,,,
78,A496,68.41,-13.26,1,68.40742086797,-13.2604311076,0.15282698678529502,,,
81,RXC J1215.4-3900,183.87,-39.02,1,183.88182417206,-39.0186055056,0.5575102252213008,,,
82,RXC J2313.9-4244,348.49,-42.73,1,348.49421970109,-42.72726847073,0.24789024873353294,,,
83,A2721,1.51,-34.72,1,1.4968550951,-34.71975918319,0.6484254970822901,,,
94,APMCC 699,325.99,-56.63,1,325.99783218317,-56.62155944498,0.5685972542853179,,,
95,A1736,201.73,-27.18,1,201.72990679926,-27.1643330535,0.9400299543533829,,,
98,A4059,359.26,-34.76,1,359.25364426417,-34.75836088204,0.3283689515253556,,,
100,A3998,350.39,-41.9,1,350.40872344846,-41.89710441664,0.8540415744535411,,,
108,A3836,332.35,-51.82,1,332.33634790654,-51.80323996626,1.1259219665482816,,,
116,A3126,52.16,-55.71,1,52.15238995848,-55.71436261177,0.3669910140347643,,,
117,A458,56.48,-24.28,1,56.48843183674,-24.27861577286,0.4685825040747652,,,
121,RXC J0049.4-2931,12.35,-29.52,1,12.34295547267,-29.5189799991,0.3728607211391193,,,
132,A3395,96.81,-54.47,1,96.90682475243,-54.45420370164,3.507202620222161,,,
133,A1606,191.16,-11.99,1,191.14843936182,-11.9956899412,0.7595471987081823,,,
139,A3532,194.32,-30.38,1,194.31764951188,-30.39887430667,1.138973854846967,,,
152,A4068,359.98,-39.48,1,359.98383746937,-39.47399528688,0.40173309573065724,,,
153,RXC J1139.4-3327,174.86,-33.45,1,174.84571934617,-33.44661696578,0.7431891633536791,,,
155,RXC J0351.1-8212,57.79,-82.22,1,57.87871092442,-82.22173627947,0.7279394710236676,,,
163,A2988,33.22,-47.13,1,33.21203812296,-47.1436508612,0.8811624244134645,,,
165,A2871,16.95,-36.73,1,16.96024993829,-36.72162945092,0.7037125943866653,,,
165,A2871,16.95,-36.73,2,17.0243623213,-36.78654293262,4.928218203106702,,,
170,RX J0820.9+0751,125.26,7.87,1,125.2584081169,7.86335441886,0.40980645419702066,,,
173,A3128,52.5,-52.6,1,52.4648524832,-52.58107650273,1.7118643819545598,,,
174,A1023,157.0,-6.8,1,156.99513038264,-6.79869306342,0.30053276626641884,,,
175,A3528,193.67,-29.22,1,193.66934870961,-29.22823292657,0.49515142897441555,,,
176,A1205,168.34,2.53,1,168.35331688581,2.55268435978,1.5778642121454656,,,
180,RBS 0540,66.46,-8.56,1,66.46400287666,-8.56045067655,0.2390314821912718,,,
184,A761,137.65,-10.58,1,137.64797758036,-10.58187218421,0.16384881335470292,,,
188,A3825,329.61,-60.4,1,329.60962356801,-60.39974910955,0.018736752302382066,,,
189,A1809,208.25,5.16,1,208.24903103264,5.13251942232,1.6498510767237455,,,
193,A3104,48.58,-45.42,1,48.59212570321,-45.42097512464,0.5140014394551203,,,
199,A514,72.05,-20.47,1,72.04567009078,-20.45678212522,0.8295828658860086,,,
202,RXC J1459.0-0843,224.76,-8.73,1,224.77147366389,-8.70904085568,1.4298457611502522,,,
