cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,source_name,source_ra,source_dec,separation_arcmin,flux_mJy,flux_err_mJy,peak_flux_mJy,major_axis_arcsec,minor_axis_arcsec,frequency_mhz,catalog
2,A2029,227.73,5.72,1,TGSSADR J151055.6+054438,227.73203,5.74397,1.4432970925571542,7719.4,772.3,3809.9,,,150,gmrtas150m
4,A401,44.74,13.58,1,TGSSADR J025902.2+133813,44.75936,13.63701,3.602099549859677,238.7,24.4,74.2,,,150,gmrtas150m
7,A85,10.46,-9.3,1,TGSSADR J004150.4-091813,10.4604,-9.30372,0.2244530938463418,524.5,52.9,359.1,,,150,gmrtas150m
7,A85,10.46,-9.3,2,TGSSADR J004147.9-091632,10.44961,-9.2758,1.576961761580715,302.6,31.1,153.3,,,150,gmrtas150m
17,A754,137.28,-9.67,1,TGSSADR J090854.6-094028,137.22772,-9.67469,3.104987084553934,496.0,51.2,253.7,,,150,gmrtas150m
17,A754,137.28,-9.67,2,TGSSADR J090919.5-094159,137.33157,-9.7,3.541625347579665,63.1,12.2,52.5,,,150,gmrtas150m
19,A3571,206.87,-32.85,1,TGSSADR J134724.9-325214,206.85396,-32.87064,1.478906519627983,142.4,16.1,118.2,,,150,gmrtas150m
20,A3112,49.49,-44.24,1,TGSSADR J031757.4-441423,49.4895,-44.2399,0.022314511801629154,7259.2,726.0,6216.5,,,150,gmrtas150m
24,A399,44.46,13.05,1,TGSSADR J025737.1+130050,44.40475,13.01412,3.8813639673959646,61.8,8.7,45.0,,,150,gmrtas150m
25,A2597,351.33,-12.13,1,TGSSADR J232519.7-120728,351.33246,-12.12462,0.3535874343494102,14686.3,1468.7,12655.0,,,150,gmrtas150m
31,RXC J1558.3-1410,239.6,-14.17,1,TGSSADR J155822.0-140958,239.59169,-14.16629,0.5322204345840953,1090.2,109.1,932.9,,,150,gmrtas150m
31,RXC J1558.3-1410,239.6,-14.17,2,TGSSADR J155819.3-141022,239.58064,-14.17281,1.1387996082417782,42.2,6.1,36.9,,,150,gmrtas150m
31,RXC J1558.3-1410,239.6,-14.17,3,TGSSADR J155830.8-141202,239.62857,-14.20079,2.484934441571894,107.5,12.4,84.8,,,150,gmrtas150m
32,A3558,201.99,-31.5,1,TGSSADR J132750.1-312921,201.95894,-31.48928,1.7143085454317673,197.1,21.3,189.6,,,150,gmrtas150m
36,A3695,308.7,-35.81,1,TGSSADR J203444.5-354850,308.68561,-35.81417,0.7435270056025575,11003.5,1100.5,7345.6,,,150,gmrtas150m
42,A2426,333.64,-10.37,1,TGSSADR J221431.1-102613,333.62991,-10.43703,4.065640524735572,184.1,19.5,163.1,,,150,gmrtas150m
44,RXC J1217.6+0339,184.42,3.66,1,TGSSADR J121740.2+033944,184.41765,3.66233,0.19835315396953995,8937.8,894.0,3221.8,,,150,gmrtas150m
44,RXC J1217.6+0339,184.42,3.66,2,TGSSADR J121746.9+033810,184.44565,3.63628,2.0939030258680695,330.0,33.7,100.2,,,150,gmrtas150m
44,RXC J1217.6+0339,184.42,3.66,3,TGSSADR J121728.8+033638,184.37004,3.6106,4.211267845926236,6838.5,684.5,1549.5,,,150,gmrtas150m
46,A780,139.53,-12.09,1,TGSSADR J091805.9-120530,139.52473,-12.09169,0.3253885736395791,318816.6,31882.5,70177.5,,,150,gmrtas150m
46,A780,139.53,-12.09,2,TGSSADR J091809.0-120641,139.5378,-12.11163,1.3761117898507196,6791.9,681.7,1486.9,,,150,gmrtas150m
46,A780,139.53,-12.09,3,TGSSADR J091810.9-120212,139.54552,-12.03674,3.3228177598027617,557.7,72.9,537.1,,,150,gmrtas150m
47,A2420,332.58,-12.18,1,TGSSADR J221018.3-121017,332.57626,-12.17144,0.5584803923527802,98.1,13.0,72.2,,,150,gmrtas150m
51,A3911,341.58,-52.73,1,TGSSADR J224614.2-524324,341.55945,-52.72337,0.8460766865065302,1938.1,194.6,1273.6,,,150,gmrtas150m
59,A2055,229.69,6.23,1,TGSSADR J151846.9+061359,229.69576,6.23329,0.3962307342461401,1570.6,158.5,805.5,,,150,gmrtas150m
63,A1750,202.71,-1.87,1,TGSSADR J133055.6-015123,202.73186,-1.85656,1.539076610714279,79.1,9.5,83.4,,,150,gmrtas150m
65,A1307,173.22,14.47,1,TGSSADR J113302.1+143225,173.25883,14.54042,4.789547249875226,559.1,56.5,301.6,,,150,gmrtas150m
66,A3814,327.28,-30.7,1,TGSSADR J214907.5-304200,327.28125,-30.70012,0.06488956525393177,220.5,23.6,186.4,,,150,gmrtas150m
66,A3814,327.28,-30.7,2,TGSSADR J214904.9-303829,327.27051,-30.64153,3.5422197062874603,101.0,12.5,46.1,,,150,gmrtas150m
72,A2440,335.97,-1.64,1,TGSSADR J222347.8-013901,335.94919,-1.65045,1.3967268409984062,60.5,9.0,53.4,,,150,gmrtas150m
72,A2440,335.97,-1.64,2,TGSSADR J222353.3-013601,335.97232,-1.60043,2.378273909545473,106.2,12.3,80.3,,,150,gmrtas150m
75,A1348,175.35,-12.27,1,TGSSADR J114124.2-121637,175.35094,-12.27721,0.4360962866704763,603.9,60.9,515.1,,,150,gmrtas150m
78,A496,68.41,-13.26,1,TGSSADR J043337.7-131539,68.40724,-13.26086,0.16924262262747428,2325.7,232.8,1464.5,,,150,gmrtas150m
78,A496,68.41,-13.26,2,TGSSADR J043340.0-131502,68.41681,-13.25067,0.6866968033003393,577.7,58.3,301.6,,,150,gmrtas150m
78,A496,68.41,-13.26,3,TGSSADR J043348.4-131606,68.45184,-13.26849,2.495962642734121,61.3,10.6,64.1,,,150,gmrtas150m
81,RXC J1215.4-3900,183.87,-39.02,1,TGSSADR J121515.7-390221,183.8156,-39.03922,2.785470484873261,33.6,6.4,27.5,,,150,gmrtas150m
81,RXC J1215.4-3900,183.87,-39.02,2,TGSSADR J121517.1-390505,183.82149,-39.08475,4.49467626479197,1259.6,126.4,409.4,,,150,gmrtas150m
82,RXC J2313.9-4244,348.49,-42.73,1,TGSSADR J231358.6-424341,348.49432,-42.7282,0.2188980903945947,4246.0,424.7,3737.6,,,150,gmrtas150m
83,A2721,1.51,-34.72,1,TGSSADR J000553.4-344432,1.47286,-34.74246,2.2737538385253773,218.5,22.4,208.5,,,150,gmrtas150m
88,RXC J2218.2-0350,334.57,-3.83,1,TGSSADR J221821.2-034811,334.58841,-3.80324,1.9474820784137916,355.6,36.8,185.6,,,150,gmrtas150m
88,RXC J2218.2-0350,334.57,-3.83,2,TGSSADR J221827.4-034702,334.61429,-3.78411,3.822545472790835,155.9,17.5,51.5,,,150,gmrtas150m
88,RXC J2218.2-0350,334.57,-3.83,3,TGSSADR J221830.1-034617,334.62564,-3.77161,4.834227281056753,212.1,22.4,54.3,,,150,gmrtas150m
90,A2443,336.51,17.38,1,TGSSADR J222603.3+172208,336.5141,17.36889,0.7067356556349574,1707.6,171.3,297.7,,,150,gmrtas150m
