obs_id,target_name,project,ra,dec,freq_mhz,bandwidth_mhz,exptime_s,mjd_start,mjd_end,access_url,size_kb,cluster_name,cluster_ra,cluster_dec
2002-06-21_2231_P389-HIPASSJ0036-0953-med.mbf,HIPASSJ0036-09,P389,9.067083,-9.890833,1397.4,8.0,,52446.938333,52446.959861,http://atoa.atnf.csiro.au/RPFITS?fname=2002-06-21_2231_P389-HIPASSJ0036-0953-med.mbf,19390,A85,10.46,-9.3
2002-06-22_2348_P389-HIPASSJ0034-0941.mbf,HIPASSJ0034-09,P389,8.532917,-9.6925,1402.9,8.0,,52447.992095,52448.003843,http://atoa.atnf.csiro.au/RPFITS?fname=2002-06-22_2348_P389-HIPASSJ0034-0941.mbf,9730,A85,10.46,-9.3
2001-11-29_0843_P389-HIPASSJ0047-0953.mbf,HIPASSJ0047-09,P389,11.940417,-9.894722,1414.1,8.0,,52242.363623,52242.375313,http://atoa.atnf.csiro.au/RPFITS?fname=2001-11-29_0843_P389-HIPASSJ0047-0953.mbf,8982,A85,10.46,-9.3
2000-10-22_1226_cetus_e1.mbf,cetus_e1,P347,8.737572,-9.02,1418.9,8.0,,51839.518252,51839.522824,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-22_1226_cetus_e1.mbf,9210,A85,10.46,-9.3
2000-10-14_1338_cetus_a2.mbf,cetus_a2,P347,8.537572,-9.02,1419.0,8.0,,51831.568368,51831.57294,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-14_1338_cetus_a2.mbf,9210,A85,10.46,-9.3
2000-10-15_1301_cetus_b1.mbf,cetus_b1,P347,8.587572,-9.02,1419.0,8.0,,51832.542731,51832.547303,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-15_1301_cetus_b1.mbf,9210,A85,10.46,-9.3
2000-10-15_1459_cetus_c1.mbf,cetus_c1,P347,8.637571,-9.02,1419.0,8.0,,51832.624676,51832.629248,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-15_1459_cetus_c1.mbf,9210,A85,10.46,-9.3
2000-10-16_1328_cetus_d1.mbf,cetus_d1,P347,8.687572,-9.02,1419.0,8.0,,51833.561539,51833.566111,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-16_1328_cetus_d1.mbf,9210,A85,10.46,-9.3
2000-10-16_1342_cetus_d1.mbf,cetus_d1,P347,8.687572,-9.02,1419.0,8.0,,51833.571551,51833.576123,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-16_1342_cetus_d1.mbf,9210,A85,10.46,-9.3
2000-10-28_0344_GL-0086N.mbf,GL-0086N,P348,9.0021,-10.5,1419.0,8.0,,51845.156215,51845.157604,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-28_0344_GL-0086N.mbf,2885,A85,10.46,-9.3
2000-10-28_0347_GL-0097M.mbf,GL-0097M,P348,9.7155,-7.5,1419.0,8.0,,51845.158067,51845.159456,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-28_0347_GL-0097M.mbf,2885,A85,10.46,-9.3
2000-10-28_0350_GL-0097N.mbf,GL-0097N,P348,10.1126,-10.5,1419.0,8.0,,51845.159861,51845.16125,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-28_0350_GL-0097N.mbf,2885,A85,10.46,-9.3
2000-10-28_0352_GL-0108M.mbf,GL-0108M,P348,10.826,-7.5,1419.0,8.0,,51845.161713,51845.163102,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-28_0352_GL-0108M.mbf,2885,A85,10.46,-9.3
2000-10-28_0355_GL-0108N.mbf,GL-0108N,P348,11.2231,-10.5,1419.0,8.0,,51845.163507,51845.164896,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-28_0355_GL-0108N.mbf,2885,A85,10.46,-9.3
2000-10-29_0942_GL-0112L.mbf,GL-0112L,P348,10.826,-7.5,1419.0,8.0,,51846.404942,51846.406331,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-29_0942_GL-0112L.mbf,2885,A85,10.46,-9.3
2000-10-29_0948_GL-0101L.mbf,GL-0101L,P348,9.7155,-7.5,1419.0,8.0,,51846.408588,51846.409977,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-29_0948_GL-0101L.mbf,2885,A85,10.46,-9.3
2000-10-22_1226_cetus_e1.mbf,cetus_e1,P347,8.737572,-9.02,1421.9,8.0,,51839.518252,51839.522824,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-22_1226_cetus_e1.mbf,9210,A85,10.46,-9.3
2000-10-14_1338_cetus_a2.mbf,cetus_a2,P347,8.537572,-9.02,1422.0,8.0,,51831.568368,51831.57294,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-14_1338_cetus_a2.mbf,9210,A85,10.46,-9.3
2000-10-15_1301_cetus_b1.mbf,cetus_b1,P347,8.587572,-9.02,1422.0,8.0,,51832.542731,51832.547303,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-15_1301_cetus_b1.mbf,9210,A85,10.46,-9.3
2000-10-15_1459_cetus_c1.mbf,cetus_c1,P347,8.637571,-9.02,1422.0,8.0,,51832.624676,51832.629248,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-15_1459_cetus_c1.mbf,9210,A85,10.46,-9.3
2000-10-16_1328_cetus_d1.mbf,cetus_d1,P347,8.687572,-9.02,1422.0,8.0,,51833.561539,51833.566111,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-16_1328_cetus_d1.mbf,9210,A85,10.46,-9.3
2000-10-16_1342_cetus_d1.mbf,cetus_d1,P347,8.687572,-9.02,1422.0,8.0,,51833.571551,51833.576123,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-16_1342_cetus_d1.mbf,9210,A85,10.46,-9.3
2000-10-28_0344_GL-0086N.mbf,GL-0086N,P348,9.0021,-10.5,1422.1,8.0,,51845.156215,51845.157604,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-28_0344_GL-0086N.mbf,2885,A85,10.46,-9.3
2000-10-28_0347_GL-0097M.mbf,GL-0097M,P348,9.7155,-7.5,1422.1,8.0,,51845.158067,51845.159456,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-28_0347_GL-0097M.mbf,2885,A85,10.46,-9.3
2000-10-28_0350_GL-0097N.mbf,GL-0097N,P348,10.1126,-10.5,1422.1,8.0,,51845.159861,51845.16125,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-28_0350_GL-0097N.mbf,2885,A85,10.46,-9.3
2000-10-28_0352_GL-0108M.mbf,GL-0108M,P348,10.826,-7.5,1422.1,8.0,,51845.161713,51845.163102,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-28_0352_GL-0108M.mbf,2885,A85,10.46,-9.3
2000-10-28_0355_GL-0108N.mbf,GL-0108N,P348,11.2231,-10.5,1422.1,8.0,,51845.163507,51845.164896,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-28_0355_GL-0108N.mbf,2885,A85,10.46,-9.3
2000-10-29_0942_GL-0112L.mbf,GL-0112L,P348,10.826,-7.5,1422.1,8.0,,51846.404942,51846.406331,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-29_0942_GL-0112L.mbf,2885,A85,10.46,-9.3
2000-10-29_0948_GL-0101L.mbf,GL-0101L,P348,9.7155,-7.5,1422.1,8.0,,51846.408588,51846.409977,http://atoa.atnf.csiro.au/RPFITS?fname=2000-10-29_0948_GL-0101L.mbf,2885,A85,10.46,-9.3
2012-01-14_0707-P560_a3667_RA041.rpf,a3667_RA041,P560,306.057,-56.915,3100.0,1024.0,,55940.297106,55940.297894,http://atoa.atnf.csiro.au/RPFITS?fname=2012-01-14_0707-P560_a3667_RA041.rpf,3517,A3667,303.13,-56.83
2012-01-14_0709-P560_a3667_RA042.rpf,a3667_RA042,P560,300.196,-56.882,3100.0,1024.0,,55940.298218,55940.299005,http://atoa.atnf.csiro.au/RPFITS?fname=2012-01-14_0709-P560_a3667_RA042.rpf,3517,A3667,303.13,-56.83
2012-01-14_0710-P560_a3667_RA043.rpf,a3667_RA043,P560,306.052,-56.848,3100.0,1024.0,,55940.299329,55940.300116,http://atoa.atnf.csiro.au/RPFITS?fname=2012-01-14_0710-P560_a3667_RA043.rpf,3517,A3667,303.13,-56.83
2012-01-14_0712-P560_a3667_RA044.rpf,a3667_RA044,P560,300.201,-56.816,3100.0,1024.0,,55940.30044,55940.301227,http://atoa.atnf.csiro.au/RPFITS?fname=2012-01-14_0712-P560_a3667_RA044.rpf,3517,A3667,303.13,-56.83
2012-01-14_0714-P560_a3667_RA045.rpf,a3667_RA045,P560,306.047,-56.781,3100.0,1024.0,,55940.301551,55940.302338,http://atoa.atnf.csiro.au/RPFITS?fname=2012-01-14_0714-P560_a3667_RA045.rpf,3517,A3667,303.13,-56.83
2012-01-14_0715-P560_a3667_RA046.rpf,a3667_RA046,P560,300.206,-56.749,3100.0,1024.0,,55940.302662,55940.303449,http://atoa.atnf.csiro.au/RPFITS?fname=2012-01-14_0715-P560_a3667_RA046.rpf,3517,A3667,303.13,-56.83
2012-01-14_0717-P560_a3667_RA047.rpf,a3667_RA047,P560,306.042,-56.715,3100.0,1024.0,,55940.303773,55940.30456,http://atoa.atnf.csiro.au/RPFITS?fname=2012-01-14_0717-P560_a3667_RA047.rpf,3517,A3667,303.13,-56.83
2012-01-14_0718-P560_a3667_RA048.rpf,a3667_RA048,P560,300.212,-56.682,3100.0,1024.0,,55940.304884,55940.305671,http://atoa.atnf.csiro.au/RPFITS?fname=2012-01-14_0718-P560_a3667_RA048.rpf,3517,A3667,303.13,-56.83
2012-01-14_0720-P560_a3667_RA049.rpf,a3667_RA049,P560,306.037,-56.648,3100.0,1024.0,,55940.305995,55940.306782,http://atoa.atnf.csiro.au/RPFITS?fname=2012-01-14_0720-P560_a3667_RA049.rpf,3517,A3667,303.13,-56.83
