cluster_id,cluster_name,cluster_ra,cluster_dec,source_rank,catalog,catalog_desc,source_name,source_ra,source_dec,separation_arcmin,flux,flux_unit,freq_mhz,velocity_kms,S80_Jy,S178_Jy,S408_Jy,S1410_Jy,S2700_Jy,S5000_Jy
7,A85,10.46,-9.3,1,PMN,Parkes-MIT-NRAO 4.85 GHz survey,,10.455416666666666,-9.297777777777778,0.30237102790572906,,mJy,4850,,,,,,,
20,A3112,49.49,-44.24,1,PKSCAT90,Parkes Radio Sources Catalogue,B0316-444,49.49016666666666,-44.23811111111111,0.11355955436176954,0.88,Jy,2700,,14.0,,3.1,1.22,,0.62
20,A3112,49.49,-44.24,2,PMN,Parkes-MIT-NRAO 4.85 GHz survey,,49.49416666666666,-44.23777777777778,0.22328887907048844,,mJy,4850,,,,,,,
25,A2597,351.33,-12.13,1,PKSCAT90,Parkes Radio Sources Catalogue,B2322-123,351.332375,-12.124194444444445,0.3751615182651497,0.88,Jy,2700,,25.0,,7.2,2.0,,0.37
25,A2597,351.33,-12.13,2,PMN,Parkes-MIT-NRAO 4.85 GHz survey,,351.33624999999995,-12.12638888888889,0.42586616735519556,,mJy,4850,,,,,,,
31,RXC J1558.3-1410,239.6,-14.17,1,PKSCAT90,Parkes Radio Sources Catalogue,B1555-140,239.59149999999997,-14.16638888888889,0.5398715990787858,0.73,Jy,2700,,,,,,,0.83
31,RXC J1558.3-1410,239.6,-14.17,2,PMN,Parkes-MIT-NRAO 4.85 GHz survey,,239.5908333333333,-14.165277777777778,0.6038673710218918,,mJy,4850,,,,,,,
36,A3695,308.7,-35.81,1,PKSCAT90,Parkes Radio Sources Catalogue,B2031-359,308.6829166666666,-35.81805555555556,0.9615060562564018,0.93,Jy,2700,,16.0,,4.4,1.42,,0.59
36,A3695,308.7,-35.81,2,PMN,Parkes-MIT-NRAO 4.85 GHz survey,,308.67833333333334,-35.80833333333333,1.0589933239547091,,mJy,4850,,,,,,,
38,A3921,342.49,-64.43,1,PMN,Parkes-MIT-NRAO 4.85 GHz survey,,342.53166666666664,-64.415,1.4053294186476655,,mJy,4850,,,,,,,
