cluster_name,ra,dec,n_observations,n_unique_positions,ra_min,ra_max,dec_min,dec_max,spatial_extent_arcmin,freq_bands,can_make_image,reason
A401,44.74,13.58,1,1,43.44125,43.44125,13.381944,13.381944,0.0,680 MHz,False,Only 1 unique position (need 5+ for mapping)
A85,10.46,-9.3,29,13,8.532917,11.940417,-10.5,-7.5,270.3852204301667,1415 MHz,True,13 unique positions over 270.4 arcmin
A3667,303.13,-56.83,110,83,299.73875,306.144,-58.551444,-55.024444,298.3216455899079,1403 MHz; 3100 MHz; 8420 MHz,True,83 unique positions over 298.3 arcmin
A3827,330.48,-59.95,9,5,327.110417,332.382083,-60.903611,-59.9675,168.05284112539437,1409 MHz,True,5 unique positions over 168.1 arcmin
A3266,67.85,-61.44,278,50,65.233575,71.9119,-63.092222,-59.6452,281.9087889796248,1330 MHz; 1419 MHz; 22220 MHz,True,50 unique positions over 281.9 arcmin
A1651,194.84,-4.19,309,7,193.783333,196.1325,-5.789312,-3.398056,200.86321268780804,724 MHz; 1403 MHz; 1665 MHz; 3100 MHz; 3300 MHz; 6600 MHz; 8476 MHz; 12126 MHz; 17642 MHz; 22198 MHz; 23955 MHz,True,7 unique positions over 200.9 arcmin
A754,137.28,-9.67,2,2,137.71125,138.02875,-10.513611,-8.863611,100.76538692506038,1404 MHz,False,Only 2 unique positions (need 5+ for mapping)
A3571,206.87,-32.85,188,34,204.5792,208.5475,-34.3,-30.9953,281.64798974501207,1407 MHz,True,34 unique positions over 281.6 arcmin
A3112,49.49,-44.24,77,39,48.8904,51.063356,-46.174367,-42.5215,238.24556514358463,1416 MHz; 2300 MHz,True,39 unique positions over 238.2 arcmin
A399,44.46,13.05,1,1,43.44125,43.44125,13.381944,13.381944,0.0,680 MHz,False,Only 1 unique position (need 5+ for mapping)
A2597,351.33,-12.13,25,19,349.8531,352.7377,-13.418,-10.5,243.48642057468174,732 MHz; 1421 MHz,True,19 unique positions over 243.5 arcmin
A1650,194.67,-1.76,34,19,193.507917,195.8741,-3.731392,-0.008611,264.6308762398613,1410 MHz; 21500 MHz,True,19 unique positions over 264.6 arcmin
A2837,13.19,-80.27,10,4,11.825,18.6425,-80.800444,-78.936111,131.4984612785751,1399 MHz,False,Only 4 unique positions (need 5+ for mapping)
RXC J1558.3-1410,239.6,-14.17,20,6,239.59125,241.65398,-15.738056,-14.166389,152.61730797979706,1355 MHz; 3100 MHz,True,6 unique positions over 152.6 arcmin
A3558,201.99,-31.5,26,19,200.279167,204.0764,-33.0503,-30.0479,264.9319999179191,1406 MHz; 8400 MHz,True,19 unique positions over 264.9 arcmin
A3695,308.7,-35.81,12,2,308.945833,310.0,-37.0,-34.900278,136.02501281107524,1426 MHz; 3100 MHz,False,Only 2 unique positions (need 5+ for mapping)
A3921,342.49,-64.43,119,26,338.460254,346.576,-65.620003,-63.7127,239.3080364511916,1423 MHz,True,26 unique positions over 239.3 arcmin
