R Abell 13             3.3842 -19.5010 0.094 - X -  3.5 1 X MCXC J0013.6-1930
R Abell 22             5.1608 -25.7220 0.142 X X X  2.9 0 X MCXC J0020.7-2542
R Abell 33             6.7792 -19.5067 0.280 - X -  5.7 1 - 
R Abell 85            10.4529  -9.3180 0.055 X X X  3.3 1 X MCXC J0041.8-0918
R Abell 133           15.6879 -21.8800 0.057 X X X  6.7 1 - MCXC J0102.7-2152
R Abell 168           18.7908   0.2475 0.045 X X X  3.6 2 X MCXC J0115.2+0019
R Abell 194           21.4458  -1.3731 0.018 X X X  5.7 1 - MCXC J0125.6-0124
R Abell 209           22.9896 -13.5764 0.206 X X X  3.6 1 X MCXC J0131.8-1336
R Abell 370           39.9604  -1.5856 0.375 X X -  6.9 2 X ZwCl 0237.2-0146
R Abell 521           73.5358 -10.2442 0.253 - X -  3.4 0 X MCXC J0454.1-1014
R Abell 545           83.1017 -11.5431 0.154 X X -  3.1 1 X MCXC J0532.3-1131
R Abell 548           86.7571 -25.6164 0.042 X X X  2.8 1 - 
R Abell 2485         342.1371 -16.1064 0.247 - X -  2.8 0 - MCXC J2248.5-1606
R Abell 2597         351.3321 -12.1244 0.085 - X -  6.0 2 - MCXC J2325.3-1207
R Abell 2645         355.3200  -9.0275 0.251 - X -  4.3 2 X MCXC J2341.2-0901
R Abell 2667         357.9196 -26.0836 0.230 - X -  2.7 0 X MCXC J2351.6-2605
R Abell 2744           3.5671 -30.3830 0.308 X X X  2.9 0 X MCXC J0014.3-3023
R Abell 2751           4.0580 -31.3885 0.107 X X X  2.6 0 X MCXC J0016.3-3121
R Abell 2811          10.5368 -28.5358 0.108 - X -  2.6 0 X MCXC J0042.1-2832
R Abell 2813          10.8517 -20.6214 0.292 - X -  3.4 2 X MCXC J0043.4-2037
R Abell 2895          19.5463 -26.9731 0.227 - X -  3.0 1 X MCXC J0118.1-2658
R Abell 3365          87.0500 -21.9350 0.093 - X -  2.8 0 X 
R Abell 3376          90.4256 -39.9851 0.046 X X X  3.1 1 X MCXC J0601.7-3959
R Abell 3558         201.9783 -31.4922 0.048 X X -  2.9 1 X MCXC J1327.9-3130
R Abell 3562         202.7833 -31.6731 0.049 X X X  3.3 0 X MCXC J1333.6-3139
R Abell 3667         303.1403 -56.8406 0.056 X X X  4.2 1 X MCXC J2012.5-5649
R Abell 4038         356.8796 -28.2028 0.028 X X X  3.0 0 X MCXC J2347.7-2808
R Abell S295          41.4000 -53.0380 0.300 X X X  2.3 0 X PSZ1 G271.48-56.57
R Abell S1063        342.1813 -44.5289 0.348 - X -  2.6 0 X MCXC J2248.7-4431
R Abell S1121        351.2844 -41.2118 0.190 - X -  5.4 2 X PSZ2 G348.90-67.37
R Bullet           + 104.6579 -55.9500 0.296 X X -  2.8 0 X MCXC J0658.5-5556
R El Gordo            15.7188 -49.2495 0.870 X X -  1.5 0 X ACT-CL J0102-4915
R MACS J0025.4-1222    6.3724 -12.3770 0.584 X X -  3.7 1 - MCXC J0025.4-1222
R MACS J0257.6-2209   44.4179 -22.1628 0.322 - X -  3.2 1 X MCXC J0257.6-2209
R MACS J0417.5-1155   64.3942 -11.9089 0.440 X X -  2.9 0 X MCXC J0417.5-1154
R PLCK G200.9-28.2    72.5871  -2.9493 0.220 X X X  4.4 1 X 
R RXC J0225.1-2928    36.3750 -29.5000 0.060 X X -  5.1 2 - MCXC J0225.1-2928
R RXC J0510.7-0801    77.6846  -8.0200 0.220 X X -  5.2 1 X MCXC J0510.7-0801
R RXC J0520.7-1328    80.1967 -13.5022 0.336 X X -  7.7 2 X PSZ1 G215.29-26.09
R RXC J1314.4-2515   198.5988 -25.2558 0.249 X X -  4.2 1 X MCXC J1314.4-2515
R RXC J2351.0-1954   357.7704 -19.9133 0.248 - X -  3.1 1 X 
X J0014.3-6604         3.5767 -66.0775 0.155 X X -  2.5 0 - Abell 2746
X J0027.3-5015         6.8388 -50.2511 0.145 X X -  2.6 0 X Abell 2777
X J0051.1-4833        12.7967 -48.5597 0.187 X X -  2.6 0 - Abell 2830
X J0108.5-4020        17.1383 -40.3500 0.143 X X -  2.6 0 - Abell 2874
X J0117.8-5455        19.4604 -54.9239 0.251 X X -  2.4 0 - RXC J0117.8-5455
X J0145.0-5300        26.2596 -53.0139 0.118 X X -  2.6 1 X Abell 2941
X J0145.2-6033        26.3196 -60.5650 0.184 X X -  2.3 0 X PSZ1 G291.34-55.32
X J0212.8-4707        33.2246 -47.1328 0.115 X X -  3.1 1 - Abell 2988
X J0216.3-4816        34.0796 -48.2731 0.163 X X X  3.1 3 X Abell 2998
X J0217.2-5244        34.3025 -52.7469 0.343 X X -  2.8 1 X ACT-CL J0217-5245
X J0225.9-4154        36.4775 -41.9097 0.220 X X -  2.7 1 X Abell 3017
X J0232.2-4420        38.0700 -44.3475 0.284 X X X  2.6 0 X PSZ2 G259.98-63.43
X J0303.7-7752        45.9433 -77.8692 0.274 X X -  2.9 0 X PSZ1 G294.68-37.01
X J0314.3-4525        48.5825 -45.4242 0.073 X X X  2.5 0 X Abell 3104
X J0317.9-4414        49.4938 -44.2389 0.075 X X -  3.0 2 - Abell 3112
X J0328.6-5542        52.1563 -55.7128 0.086 X X X  2.9 1 - Abell 3126
X J0336.3-4037        54.0779 -40.6222 0.062 X X -  3.5 1 - Abell 3140
X J0342.8-5338        55.7246 -53.6353 0.060 X X -  3.4 0 X Abell 3158
X J0351.1-8212        57.7871 -82.2167 0.061 X X X  2.8 0 X Abell S405
X J0352.4-7401        58.1229 -74.0308 0.127 X X X  2.6 0 X Abell 3186
X J0406.7-7116        61.6908 -71.2750 0.229 X X -  3.0 1 - 
X J0416.7-5525        64.1871 -55.4189 0.365 X X -  2.7 0 - 
X J0431.4-6126        67.8504 -61.4439 0.059 X X X  4.5 1 X Abell 3266
X J0449.9-4440        72.4800 -44.6781 0.172 X X -  2.6 0 - Abell 3292
X J0510.2-4519        77.5575 -45.3211 0.200 X X -  3.0 0 X Abell 3322
X J0516.6-5430        79.1583 -54.5142 0.297 X X X  3.1 1 X Abell S520
X J0525.8-4715        81.4650 -47.2506 0.191 X X -  3.0 1 - Abell 3343
X J0528.9-3927        82.2346 -39.4628 0.284 X X -  2.6 0 X PSZ2 G244.37-32.15
X J0540.1-4050        85.0263 -40.8422 0.036 X X -  4.1 1 - Abell S540
X J0540.1-4322        85.0417 -43.3822 0.085 X X X  3.4 1 - Abell 3360
X J0542.8-4100        85.7117 -41.0014 0.640 X X -  2.4 0 - CL J0542.8-4100
X J0543.4-4430        85.8517 -44.5053 0.164 X X -  3.6 1 - 
X J0545.5-4756        86.3775 -47.9406 0.130 X X -  2.9 1 - Abell 3363
X J0600.8-5835        90.2013 -58.5872 0.037 X X -  2.5 0 - Abell S560
X J0607.0-4928        91.7558 -49.4833 0.056 X X X  2.8 1 - Abell 3380
X J0610.5-4848        92.6333 -48.8072 0.243 X X -  2.8 0 - 
X J0616.8-4748        94.2233 -47.8050 0.116 X X -  3.0 0 - PSZ1 G255.64-25.30
X J0625.2-5521        96.3179 -55.3517 0.121 X X -  5.3 1 - 
X J0626.3-5341        96.5950 -53.6956 0.051 X X -  4.4 2 - Abell 3391
X J0627.2-5428        96.8100 -54.4700 0.051 X X X  7.8 2 X Abell 3395
X J0631.3-5610        97.8363 -56.1722 0.054 X X -  2.7 0 X 
X J0637.3-4828        99.3288 -48.4783 0.203 X X X  3.0 0 X Abell 3399
X J0638.7-5358        99.6938 -53.9717 0.233 X X X  3.4 1 X Abell S592
X J0645.4-5413       101.3721 -54.2189 0.167 X X -  3.4 1 X Abell 3404
X J0658.5-5556     + 104.6296 -55.9469 0.296 X X -  3.2 0 X Bullet
X J0712.0-6030       108.0225 -60.5017 0.032 X X -  2.7 1 - 
X J0738.1-7506       114.5375 -75.1067 0.111 X X -  2.6 0 - PSZ1 G287.05-23.21
X J0745.1-5404       116.2900 -54.0789 0.074 X X X  3.1 0 X CIZA J0745.1-5404
X J0757.7-5315       119.4438 -53.2636 0.043 X X -  3.2 0 - Abell S606
X J0812.5-5714       123.1263 -57.2350 0.062 X X X  2.9 0 - PSZ2 G271.60-12.50
X J0820.9-5704       125.2483 -57.0797 0.061 X X X  2.9 2 X PSZ1 G272.08-11.51
X J0943.4-7619       145.8542 -76.3325 0.199 X X -  4.4 2 - CIZA J0943.4-7619
X J0948.6-8327       147.1642 -83.4656 0.198 X X X  3.1 0 - 
